make: 'bandwidthTest' is up to date.
./bandwidthTest --device=0 --memory=pinned --mode=range --start=1024 --end=67108864 --increment=524288 --htod --csv
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce RTX 3050 Ti Laptop GPU
 Range Mode

Type,Bandwidth(MB/s),Time(sec),Size(bytes),NumDevs
D2H-Pinned,6431.4,0.00552,37225472,1
D2H-Pinned,6431.8,0.00560,37749760,1
D2H-Pinned,6432.1,0.00567,38274048,1
D2H-Pinned,6432.1,0.00575,38798336,1
D2H-Pinned,6432.0,0.00583,39322624,1
D2H-Pinned,6431.8,0.00591,39846912,1
D2H-Pinned,6432.3,0.00599,40371200,1
D2H-Pinned,6432.2,0.00606,40895488,1
D2H-Pinned,6432.2,0.00614,41419776,1
D2H-Pinned,6432.0,0.00622,41944064,1
D2H-Pinned,6432.3,0.00630,42468352,1
D2H-Pinned,6432.3,0.00637,42992640,1
D2H-Pinned,6432.3,0.00645,43516928,1
D2H-Pinned,6432.3,0.00653,44041216,1
D2H-Pinned,6432.6,0.00661,44565504,1
D2H-Pinned,6432.0,0.00669,45089792,1
D2H-Pinned,6429.9,0.00677,45614080,1
D2H-Pinned,6432.4,0.00684,46138368,1
D2H-Pinned,6432.3,0.00692,46662656,1
D2H-Pinned,6432.8,0.00700,47186944,1
D2H-Pinned,6432.2,0.00707,47711232,1
D2H-Pinned,6432.2,0.00715,48235520,1
D2H-Pinned,6432.8,0.00723,48759808,1
D2H-Pinned,6432.6,0.00731,49284096,1
D2H-Pinned,6432.4,0.00738,49808384,1
D2H-Pinned,6432.9,0.00746,50332672,1
D2H-Pinned,6432.9,0.00754,50856960,1
D2H-Pinned,6432.4,0.00762,51381248,1
D2H-Pinned,6432.7,0.00770,51905536,1
D2H-Pinned,6432.7,0.00777,52429824,1
D2H-Pinned,6432.6,0.00785,52954112,1
D2H-Pinned,6432.3,0.00793,53478400,1
D2H-Pinned,6432.8,0.00801,54002688,1
D2H-Pinned,6432.8,0.00808,54526976,1
D2H-Pinned,6433.0,0.00816,55051264,1
D2H-Pinned,6433.0,0.00824,55575552,1
D2H-Pinned,6432.4,0.00832,56099840,1
D2H-Pinned,6433.1,0.00839,56624128,1
D2H-Pinned,6433.0,0.00847,57148416,1
D2H-Pinned,6432.4,0.00855,57672704,1
D2H-Pinned,6430.9,0.00863,58196992,1
D2H-Pinned,6426.4,0.00871,58721280,1
D2H-Pinned,6426.1,0.00879,59245568,1
D2H-Pinned,6422.8,0.00887,59769856,1
D2H-Pinned,6428.2,0.00895,60294144,1
D2H-Pinned,6433.2,0.00902,60818432,1
D2H-Pinned,6432.0,0.00910,61342720,1
D2H-Pinned,6431.8,0.00917,61867008,1
D2H-Pinned,6427.5,0.00926,62391296,1
D2H-Pinned,6432.9,0.00933,62915584,1
D2H-Pinned,6429.5,0.00941,63439872,1
D2H-Pinned,6431.8,0.00948,63964160,1
D2H-Pinned,6433.1,0.00956,64488448,1
D2H-Pinned,6433.1,0.00964,65012736,1
D2H-Pinned,6432.5,0.00972,65537024,1
D2H-Pinned,6433.2,0.00979,66061312,1
D2H-Pinned,6430.7,0.00987,66585600,1
Result = PASS
rm -f *.o bandwidthTest
